run,freeze_fraction_T,freeze_after_step,final_freeze_progress,wm_frozen_final,eval_points,last_eval_score,last_eval_step,best_eval_score,best_eval_step,final10_mean,final10_scores,pre_freeze_mean,pre_freeze_n,post_freeze_mean,post_freeze_n,wandb_run,metrics_path,scores_path
dreamer_size200m_nofreeze_1p5T,none,-1,1.49596,0,93,1,593880,13,545040,0.90,"10 13 -6 8 -5 -10 -4 -8 10 1",,,,,"https://wandb.ai/ssl-lab/dreamer-dyna-freeze-wm/runs/erz51wqh","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_nofreeze_1p5T/metrics.jsonl","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_nofreeze_1p5T/scores.jsonl"
dreamer_size200m_f0p5_to1p5T,0.50,50000,1.49310,1,87,-19,597800,-11,224120,-17.50,"-18 -17 -18 -17 -17 -17 -17 -16 -19 -19",-18.93,28,-17.53,58,"https://wandb.ai/ssl-lab/dreamer-dyna-freeze-wm/runs/r204k4y2","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_f0p5_to1p5T/metrics.jsonl","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_f0p5_to1p5T/scores.jsonl"
dreamer_size200m_f0p75_to1p5T,0.75,75000,1.48930,1,86,-21,593640,-5,235720,-19.30,"-19 -17 -19 -19 -18 -21 -20 -21 -18 -21",-15.34,44,-19.32,41,"https://wandb.ai/ssl-lab/dreamer-dyna-freeze-wm/runs/ygez8r7e","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_f0p75_to1p5T/metrics.jsonl","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_f0p75_to1p5T/scores.jsonl"
dreamer_size200m_f1p0_to1p5T,1.00,100000,1.49446,1,100,-21,599920,16,291680,-21.00,"-21 -21 -21 -21 -21 -21 -21 -21 -21 -21",-13.60,70,-12.96,28,"https://wandb.ai/ssl-lab/dreamer-dyna-freeze-wm/runs/jg8ql9ou","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_f1p0_to1p5T/metrics.jsonl","$HOME/projects/dreamerv3-runs/freeze_wm_diagnostic/dreamer_size200m_f1p0_to1p5T/scores.jsonl"
