horizon,real_sam2_present_frames,real_sam2_missing_rate_vs_horizon,real_sam2_areas
8,8,0.0,70 48 51 64 54 66 51 53
16,16,0.0,70 48 51 64 55 66 51 53 65 39 63 65 57 66 40 70
24,24,0.0,70 48 51 64 55 66 51 53 65 39 63 65 57 66 40 70 71 49 54 40 64 58 54 53
32,32,0.0,70 48 51 64 55 66 51 53 65 39 63 65 57 66 40 70 71 49 54 40 64 58 54 53 36 62 41 64 85 35 75 42
48,48,0.0,70 48 51 64 55 66 51 53 65 39 63 65 57 66 40 70 71 49 54 40 64 58 54 53 36 62 41 64 85 35 75 42 63 95 39 77 38 82 69 37 75 37 83 69 37 76 39 83
